sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement,history,source
1,ASM/HKN/83D07/2020/2,Assam,,,,24.27,92.5,,,,uploaded landslide_report.pdf
2,AS/HKN/83D11/2020/1,Assam,,,,24.31,92.56,,,,uploaded landslide_report.pdf
3,AS/HKN/83D10/2020/6,Assam,,,,24.32,92.51,,,,uploaded landslide_report.pdf
4,AS/HKN/83D11/2020/4,Assam,,,,24.43,92.55,,,,uploaded landslide_report.pdf
5,AS/KRJ/83D07/2020/1,Assam,,,,24.44,92.5,,,,uploaded landslide_report.pdf
6,AS/HKN/83D11/2020/3,Assam,,,,24.44,92.56,,,,uploaded landslide_report.pdf
7,AS/HKN/83D11/2020/2,Assam,,,,24.46,92.52,,,,uploaded landslide_report.pdf
8,ASM/HLKD/83D10/2016/58,Assam,,,,24.478972,92.682861,,,,uploaded landslide_report.pdf
9,AS/HKN/83D07/2020/1,Assam,,,,24.48,92.49,,,,uploaded landslide_report.pdf
10,AS/HKN/83D10/2020/7,Assam,,,,24.51,92.64,,,,uploaded landslide_report.pdf
11,AS/HKN/83D10/2020/4,Assam,,,,24.51,92.75,,,,uploaded landslide_report.pdf
12,AS/CHR/83D14/2020/3,Assam,,,,24.51,92.9,,,,uploaded landslide_report.pdf
13,AS/HKN/83D10/2020/5,Assam,,,,24.51,92.71,,,,uploaded landslide_report.pdf
14,ASM/HLKD/83D10/2016/59,Assam,,,,24.511306,92.693028,,,,uploaded landslide_report.pdf
15,ASM/HLKD/83D10/2016/60,Assam,,,,24.515944,92.540889,,,,uploaded landslide_report.pdf
16,AS/HKN/83D10/2020/3,Assam,,,,24.52,92.53,,,,uploaded landslide_report.pdf
17,AS/HKN/83D10/2020/8,Assam,,,,24.53,92.63,,,,uploaded landslide_report.pdf
18,AS/CHR/83D14/2020/4,Assam,,,,24.53,92.84,,,,uploaded landslide_report.pdf
19,AS/CHR/83D14/2020/5,Assam,,,,24.53,92.84,,,,uploaded landslide_report.pdf
20,AS/HKN/83D10/2020/11,Assam,,,,20.0,92.63,,,,uploaded landslide_report.pdf
21,AS/HKN/83D10/2020/1,Assam,,,,21.0,92.74,,,,uploaded landslide_report.pdf
23,AS/HKN/83D10/2020/10,Assam,,,,23.0,92.75,,,,uploaded landslide_report.pdf
24,AS/CHR/83D14/2020/2,Assam,,,,24.0,92.94,,,,uploaded landslide_report.pdf
25,AS/CAC/83D10/2009-10/AS-1,Assam,,,,25.0,92.685,,,,uploaded landslide_report.pdf
26,AS/CHR/83D14/2020/6,Assam,,,,26.0,92.83,,,,uploaded landslide_report.pdf
27,AS/CHR/83D14/2020/7,Assam,,,,27.0,92.84,,,,uploaded landslide_report.pdf
28,AS/HKN/83D10/2020/2,Assam,,,,28.0,92.74,,,,uploaded landslide_report.pdf
29,AS/CHR/83D14/2020/1,Assam,,,,29.0,92.98,,,,uploaded landslide_report.pdf
30,ASM/CCR/83H2/2016/66,Assam,,,,30.0,93.005361,,,,uploaded landslide_report.pdf
31,ASM/KRGJ/83D06/2016/61,Assam,,,,24.659389,92.497361,,,,uploaded landslide_report.pdf
32,ASM/HLK/83D10/2020/003,Assam,,,,24.70364,92.64681,,,,uploaded landslide_report.pdf
33,AS/KRM/83D06/2014/01,Assam,,,,24.70619,92.28997,,,,uploaded landslide_report.pdf
34,ASM/HLK/83D10/2020/004,Assam,,,,24.70656,92.65008,,,,uploaded landslide_report.pdf
35,AS/KAR/83D06/2009-10/AS-2,Assam,,,,24.710833,92.481167,,,,uploaded landslide_report.pdf
36,ASM/CHR/83D14/2020/0002,Assam,,,,24.72192,92.90381,,,,uploaded landslide_report.pdf
37,ASM/HLK/83D10/2020/005,Assam,,,,24.73117,92.64739,,,,uploaded landslide_report.pdf
38,ASM/KGJ/83D05/2020/0008,Assam,,,,24.78002778,92.45372222,,,,uploaded landslide_report.pdf
39,ASM/KGJ/83D05/2020/007,Assam,,,,24.78380556,92.45563889,,,,uploaded landslide_report.pdf
40,ASM/HLK/83D09/2020/006,Assam,,,,24.79489,92.55506,,,,uploaded landslide_report.pdf
41,AS/DIM/83C16/2018/27,Assam,,,,27.0,93.045425,,,,uploaded landslide_report.pdf
42,AS/DIM/83C16/2018/28,Assam,,,,28.0,93.073009,,,,uploaded landslide_report.pdf
43,ASM/CHR/83H01/2020/001,Assam,,,,24.92097,93.07306,,,,uploaded landslide_report.pdf
44,AS/CHR/83D13/2020/9,Assam,,,,27.0,92.84,,,,uploaded landslide_report.pdf
45,AS/CHR/83D09/2020/8,Assam,,,,24.95,92.73,,,,uploaded landslide_report.pdf
46,AS/CHR/83D13/2020/7,Assam,,,,24.95,92.8,,,,uploaded landslide_report.pdf
47,AS/CHR/83D13/2020/5,Assam,,,,24.96,92.92,,,,uploaded landslide_report.pdf
48,AS/CHR/83D09/2020/2,Assam,,,,24.96,92.7,,,,uploaded landslide_report.pdf
49,AS/CHR/83D09/2020/3,Assam,,,,24.96,92.7,,,,uploaded landslide_report.pdf
50,AS/CHR/83D13/2020/4,Assam,,,,24.96,92.95,,,,uploaded landslide_report.pdf
51,AS/CHR/83D09/2020/1,Assam,,,,24.96,92.66,,,,uploaded landslide_report.pdf
52,AS/CHR/83D09/2020/5,Assam,,,,24.96,92.66,,,,uploaded landslide_report.pdf
53,AS/CHR/83D13/2020/8,Assam,,,,24.96,92.98,,,,uploaded landslide_report.pdf
54,AS/CHR/83D13/2020/1,Assam,,,,27.0,92.76,,,,uploaded landslide_report.pdf
55,AS/CHR/83D09/2020/4,Assam,,,,24.97,92.72,,,,uploaded landslide_report.pdf
56,AS/CHR/83D09/2020/6,Assam,,,,24.97,92.72,,,,uploaded landslide_report.pdf
57,AS/CHR/83D09/2020/7,Assam,,,,24.97,92.72,,,,uploaded landslide_report.pdf
58,AS/CAC/83H01/2018/55,Assam,,,,24.97228,93.03289,,,,uploaded landslide_report.pdf
59,AS/CAC/83H01/2018/54,Assam,,,,24.97692,93.033,,,,uploaded landslide_report.pdf
60,AS/CAC/83H01/2018/53,Assam,,,,24.97714,93.03344,,,,uploaded landslide_report.pdf
61,AS/CHR/83D13/2020/6,Assam,,,,27.0,92.75,,,,uploaded landslide_report.pdf
62,AS/CHR/83D13/2020/3,Assam,,,,24.98,92.96,,,,uploaded landslide_report.pdf
63,AS/CHR/83C12/2020/3,Assam,,,,24.98,92.72,,,,uploaded landslide_report.pdf
64,AS/CHR/83D09/2020/9,Assam,,,,24.99,92.6,,,,uploaded landslide_report.pdf
65,AS/CHR/83D05/2020/2,Assam,,,,24.99,92.45,,,,uploaded landslide_report.pdf
66,AS/CHR/83D13/2020/2,Assam,,,,27.0,92.75,,,,uploaded landslide_report.pdf
67,AS/CAC/83H01/2018/42,Assam,,,,24.993,93.161583,,,,uploaded landslide_report.pdf
68,AS/CAC/83H01/2018/43,Assam,,,,24.99561,93.16261,,,,uploaded landslide_report.pdf
69,AS/CHR/83D05/2020/1,Assam,,,,25.0,92.43,,,,uploaded landslide_report.pdf
70,AS/DIM/83G4/2015/61,Assam,,,,25.003,93.164,,,,uploaded landslide_report.pdf
71,AS/DIM/83G4/2015/33,Assam,,,,25.008,93.04,,,,uploaded landslide_report.pdf
72,AS/CHR/83C12/2020/5,Assam,,,,27.0,92.75,,,,uploaded landslide_report.pdf
73,AS/CHR/83C12/2020/6,Assam,,,,27.0,92.75,,,,uploaded landslide_report.pdf
74,AS/CHR/83C12/2020/7,Assam,,,,27.0,92.75,,,,uploaded landslide_report.pdf
75,AS/CHR/83C12/2020/4,Assam,,,,25.01,92.73,,,,uploaded landslide_report.pdf
76,AS/DIM/83C16/2017/10,Assam,,,,25.010379,92.75482,,,,uploaded landslide_report.pdf
77,AS/DIM/83C16/2017/41,Assam,,,,25.01856,92.77011,,,,uploaded landslide_report.pdf
78,AS/DIM/83C16/2018/49,Assam,,,,25.019029,92.770549,,,,uploaded landslide_report.pdf
79,AS/CHR/83C12/2020/1,Assam,,,,25.02,92.52,,,,uploaded landslide_report.pdf
80,AS/CHR/83C12/2020/2,Assam,,,,25.02,92.52,,,,uploaded landslide_report.pdf
81,AS/CAC/83C4/2016/73,Assam,,,,25.029708,92.463967,,,,uploaded landslide_report.pdf
82,AS/CAC/83C4/2016/74,Assam,,,,25.031431,92.463231,,,,uploaded landslide_report.pdf
83,AS/CAC/83C4/2016/75,Assam,,,,25.032119,92.462636,,,,uploaded landslide_report.pdf
84,AS/CAC/83C4/2016/76,Assam,,,,25.032989,92.462214,,,,uploaded landslide_report.pdf
85,AS/DIM/83C16/2017/58,Assam,,,,25.034948,92.778753,,,,uploaded landslide_report.pdf
86,AS/DIM/83C16/2017/40,Assam,,,,25.0365,92.780417,,,,uploaded landslide_report.pdf
87,MEG/WJH/83C4/2016/45,Assam,,,,25.037203,92.450339,,,,uploaded landslide_report.pdf
88,AS/DIM/83C16/2017/39,Assam,,,,25.039722,92.781889,,,,uploaded landslide_report.pdf
89,AS/DIM/83C16/2017/38,Assam,,,,25.041083,92.783111,,,,uploaded landslide_report.pdf
90,AS/DIM/83C16/2017/37,Assam,,,,25.046444,92.789667,,,,uploaded landslide_report.pdf
91,AS/DIM/83C16/2017/36,Assam,,,,25.046778,92.790111,,,,uploaded landslide_report.pdf
92,AS/DIM/83C16/2017/25,Assam,,,,25.0,92.793389,,,,uploaded landslide_report.pdf
93,AS/DIM/83C16/2018/29,Assam,,,,29.0,92.78931,,,,uploaded landslide_report.pdf
94,AS/DIM/83C16/2017/24,Assam,,,,24.0,92.796722,,,,uploaded landslide_report.pdf
95,AS/DIM/83C16/2017/23,Assam,,,,23.0,92.79725,,,,uploaded landslide_report.pdf
